Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,City,price_per_sqft
Powai,Apartment,18400000.0,1845.0,2,2.0,Mumbai,9972.9
Worli,Apartment,21800000.0,3553.0,5,5.0,Mumbai,6135.66
Goregaon East,Apartment,52300000.0,2325.0,5,6.0,Mumbai,22494.62
South Mumbai,Apartment,44800000.0,2029.0,3,3.0,Mumbai,22079.84
Juhu,Apartment,91900000.0,2570.0,1,1.0,Mumbai,35758.75
Andheri West,Apartment,39400000.0,918.0,3,3.0,Mumbai,42919.39
Powai,Apartment,60200000.0,3967.0,1,1.0,Mumbai,15175.2
Chembur,Apartment,65100000.0,1157.0,1,1.0,Mumbai,56266.21
Worli,Apartment,6200000.0,3788.0,2,2.0,Mumbai,1636.75
Juhu,Apartment,68000000.0,2704.0,2,3.0,Mumbai,25147.93
Chembur,Apartment,21900000.0,2549.0,4,4.0,Mumbai,8591.6
Worli,Apartment,96300000.0,2197.0,3,3.0,Mumbai,43832.5
Malad West,Studio,19100000.0,1153.0,3,3.0,Mumbai,16565.48
Chembur,Apartment,44400000.0,953.0,2,2.0,Mumbai,46589.72
Powai,Apartment,13100000.0,1116.0,2,2.0,Mumbai,11738.35
Juhu,Apartment,99700000.0,990.0,2,1.0,Mumbai,100707.07
Lower Parel,Apartment,52700000.0,3184.0,5,4.0,Mumbai,16551.51
Borivali West,Apartment,61600000.0,1595.0,1,2.0,Mumbai,38620.69
Borivali West,Apartment,11400000.0,514.0,4,4.0,Mumbai,22178.99
Juhu,Apartment,76200000.0,3886.0,2,2.0,Mumbai,19608.85
Chembur,Apartment,24900000.0,3570.0,2,2.0,Mumbai,6974.79
Worli,Apartment,90300000.0,3733.0,3,3.0,Mumbai,24189.66
Powai,Apartment,24500000.0,3981.0,2,1.0,Mumbai,6154.23
South Mumbai,Apartment,23100000.0,943.0,4,4.0,Mumbai,24496.29
Borivali West,Apartment,8500000.0,1766.0,4,3.0,Mumbai,4813.14
Powai,Apartment,49800000.0,3105.0,2,3.0,Mumbai,16038.65
Borivali West,Apartment,58700000.0,2875.0,2,2.0,Mumbai,20417.39
Malad West,Apartment,11200000.0,869.0,2,2.0,Mumbai,12888.38
Worli,Apartment,78700000.0,3319.0,4,5.0,Mumbai,23711.96
Malad West,Villa,48100000.0,1130.0,2,2.0,Mumbai,42566.37
Borivali West,Apartment,54800000.0,1128.0,3,3.0,Mumbai,48581.56
Lower Parel,Apartment,46900000.0,2287.0,3,3.0,Mumbai,20507.21
Lower Parel,Studio,43100000.0,2494.0,3,3.0,Mumbai,17281.48
Malad West,Studio,58200000.0,2446.0,1,1.0,Mumbai,23793.95
Lower Parel,Apartment,19700000.0,639.0,3,4.0,Mumbai,30829.42
Borivali West,Apartment,22300000.0,3547.0,4,4.0,Mumbai,6287.0
Juhu,Independent House,86900000.0,1283.0,1,1.0,Mumbai,67731.88
Malad West,Apartment,94900000.0,779.0,2,2.0,Mumbai,121822.85
South Mumbai,Apartment,40500000.0,3588.0,5,5.0,Mumbai,11287.63
South Mumbai,Apartment,30700000.0,3836.0,1,1.0,Mumbai,8003.13
Bandra East,Apartment,66200000.0,3490.0,4,4.0,Mumbai,18968.48
Chembur,Apartment,43800000.0,3295.0,2,3.0,Mumbai,13292.87
Worli,Apartment,7400000.0,2724.0,2,2.0,Mumbai,2716.59
Lower Parel,Apartment,19800000.0,2338.0,4,4.0,Mumbai,8468.78
Lower Parel,Apartment,73000000.0,622.0,2,2.0,Mumbai,117363.34
Chembur,Apartment,67600000.0,1811.0,2,2.0,Mumbai,37327.44
Andheri West,Apartment,7600000.0,1939.0,2,1.0,Mumbai,3919.55
Goregaon East,Apartment,26100000.0,1261.0,2,2.0,Mumbai,20697.86
Malad West,Apartment,27000000.0,2977.0,1,1.0,Mumbai,9069.53
Kandivali East,Studio,68800000.0,2135.0,2,2.0,Mumbai,32224.82
Lower Parel,Apartment,6900000.0,600.0,5,5.0,Mumbai,11500.0
Worli,Apartment,14900000.0,1115.0,2,2.0,Mumbai,13363.23
Bandra East,Apartment,81000000.0,2828.0,3,4.0,Mumbai,28642.15
South Mumbai,Apartment,22000000.0,582.0,2,2.0,Mumbai,37800.69
Lower Parel,Apartment,67000000.0,3449.0,3,3.0,Mumbai,19425.92
Bandra East,Apartment,27600000.0,2132.0,1,1.0,Mumbai,12945.59
Borivali West,Apartment,14400000.0,2078.0,5,6.0,Mumbai,6929.74
Borivali West,Apartment,28100000.0,2492.0,2,3.0,Mumbai,11276.08
Goregaon East,Apartment,73600000.0,3351.0,2,2.0,Mumbai,21963.59
Juhu,Apartment,86300000.0,1587.0,1,2.0,Mumbai,54379.33
Kandivali East,Apartment,83900000.0,1917.5,1,1.0,Mumbai,43754.89
Andheri West,Apartment,42700000.0,2393.0,2,2.0,Mumbai,17843.71
Goregaon East,Apartment,68500000.0,1288.0,2,1.0,Mumbai,53183.23
Powai,Studio,24500000.0,3551.0,3,3.0,Mumbai,6899.46
Andheri West,Apartment,32800000.0,3250.0,2,2.0,Mumbai,10092.31
Malad West,Apartment,90200000.0,2736.0,2,3.0,Mumbai,32967.84
Worli,Villa,6200000.0,3447.0,3,3.0,Mumbai,1798.67
Powai,Apartment,13100000.0,3509.0,3,3.0,Mumbai,3733.26
Powai,Apartment,24700000.0,1917.5,1,1.0,Mumbai,12881.36
Goregaon East,Apartment,7500000.0,3397.0,1,1.0,Mumbai,2207.83
Chembur,Apartment,22200000.0,2881.0,1,1.0,Mumbai,7705.66
Juhu,Apartment,60400000.0,2817.0,3,3.0,Mumbai,21441.25
Chembur,Apartment,45000000.0,2589.0,3,2.0,Mumbai,17381.23
Goregaon East,Apartment,89800000.0,3085.0,2,3.0,Mumbai,29108.59
Malad West,Apartment,82700000.0,887.0,3,3.0,Mumbai,93235.63
South Mumbai,Apartment,37500000.0,3559.0,3,3.0,Mumbai,10536.67
Lower Parel,Apartment,29600000.0,3526.0,2,2.0,Mumbai,8394.78
Lower Parel,Apartment,41100000.0,408.0,4,4.0,Mumbai,100735.29
Juhu,Apartment,61100000.0,3356.0,2,2.0,Mumbai,18206.2
Malad West,Studio,30500000.0,777.0,1,1.0,Mumbai,39253.54
Juhu,Apartment,64300000.0,1540.0,2,3.0,Mumbai,41753.25
Bandra East,Apartment,43900000.0,3051.0,1,1.0,Mumbai,14388.73
Chembur,Apartment,57400000.0,895.0,2,3.0,Mumbai,64134.08
Lower Parel,Apartment,46400000.0,3326.0,4,5.0,Mumbai,13950.69
Powai,Apartment,33000000.0,3379.0,1,1.0,Mumbai,9766.2
Chembur,Apartment,95100000.0,2178.0,1,2.0,Mumbai,43663.91
Worli,Apartment,18300000.0,1362.0,4,5.0,Mumbai,13436.12
Malad West,Apartment,87500000.0,2583.0,2,2.0,Mumbai,33875.34
Andheri West,Studio,51300000.0,3930.0,2,3.0,Mumbai,13053.44
Juhu,Apartment,90000000.0,2638.0,1,2.0,Mumbai,34116.76
Chembur,Apartment,81000000.0,1261.0,1,2.0,Mumbai,64234.73
Worli,Apartment,45400000.0,2325.0,5,5.0,Mumbai,19526.88
Chembur,Studio,7100000.0,2298.0,5,5.0,Mumbai,3089.64
Andheri West,Apartment,30500000.0,3185.0,1,1.0,Mumbai,9576.14
Worli,Apartment,56500000.0,696.0,5,5.0,Mumbai,81178.16
Kandivali East,Studio,65200000.0,3116.0,3,3.0,Mumbai,20924.26
Andheri West,Studio,29500000.0,2303.0,4,4.0,Mumbai,12809.38
Goregaon East,Independent House,18200000.0,3863.0,2,2.0,Mumbai,4711.36
Borivali West,Apartment,84300000.0,1565.0,2,3.0,Mumbai,53865.81
Goregaon East,Apartment,98500000.0,2641.0,2,2.0,Mumbai,37296.48
Lower Parel,Apartment,54900000.0,3749.0,3,4.0,Mumbai,14643.91
Chembur,Studio,21300000.0,679.0,1,1.0,Mumbai,31369.66
Borivali West,Apartment,30900000.0,3768.0,1,2.0,Mumbai,8200.64
Goregaon East,Apartment,6700000.0,2845.0,2,3.0,Mumbai,2355.01
South Mumbai,Villa,16200000.0,1414.0,2,2.0,Mumbai,11456.86
Chembur,Apartment,59800000.0,2204.5,3,3.0,Mumbai,27126.33
Borivali West,Apartment,31000000.0,549.0,5,5.0,Mumbai,56466.3
Powai,Apartment,57600000.0,2454.0,1,1.0,Mumbai,23471.88
Juhu,Apartment,66900000.0,1580.0,3,3.0,Mumbai,42341.77
Juhu,Apartment,83800000.0,1939.0,2,2.0,Mumbai,43218.15
Powai,Apartment,24600000.0,469.0,4,4.0,Mumbai,52452.03
Worli,Apartment,6000000.0,3525.0,1,1.0,Mumbai,1702.13
Bandra East,Apartment,18000000.0,3902.0,3,2.0,Mumbai,4613.02
Worli,Apartment,90500000.0,3885.0,3,3.0,Mumbai,23294.72
Andheri West,Apartment,88000000.0,3074.0,4,5.0,Mumbai,28627.2
Andheri West,Apartment,61800000.0,781.0,3,3.0,Mumbai,79129.32
Borivali West,Apartment,62000000.0,3106.0,2,3.0,Mumbai,19961.37
Goregaon East,Apartment,21700000.0,382.0,4,4.0,Mumbai,56806.28
Juhu,Apartment,91900000.0,1497.0,2,2.0,Mumbai,61389.45
Malad West,Apartment,44800000.0,2108.0,1,1.0,Mumbai,21252.37
Worli,Studio,41400000.0,3151.0,4,4.0,Mumbai,13138.69
South Mumbai,Apartment,54300000.0,2828.0,3,3.0,Mumbai,19200.85
Chembur,Independent House,9500000.0,1950.0,3,3.0,Mumbai,4871.79
Lower Parel,Apartment,20800000.0,1312.0,2,2.0,Mumbai,15853.66
Kandivali East,Apartment,75100000.0,3989.0,3,3.0,Mumbai,18826.77
Goregaon East,Villa,12900000.0,1877.0,2,2.0,Mumbai,6872.67
Chembur,Apartment,62300000.0,1970.0,3,2.0,Mumbai,31624.37
Kandivali East,Apartment,28300000.0,905.0,1,1.0,Mumbai,31270.72
Chembur,Apartment,42000000.0,3241.0,3,3.0,Mumbai,12958.96
Borivali West,Apartment,32400000.0,2867.0,5,4.0,Mumbai,11301.01
Kandivali East,Studio,38800000.0,1117.0,1,2.0,Mumbai,34735.9
Lower Parel,Independent House,73300000.0,605.0,5,4.0,Mumbai,121157.02
Chembur,Studio,33200000.0,2818.0,2,2.0,Mumbai,11781.41
Powai,Apartment,58800000.0,2722.0,4,5.0,Mumbai,21601.76
Lower Parel,Apartment,50200000.0,1311.0,3,3.0,Mumbai,38291.38
Kandivali East,Studio,68000000.0,3818.0,2,2.0,Mumbai,17810.37
Lower Parel,Apartment,94000000.0,859.0,3,3.0,Mumbai,109429.57
Chembur,Apartment,74600000.0,1900.0,4,4.0,Mumbai,39263.16
Bandra East,Apartment,25400000.0,3791.0,2,2.0,Mumbai,6700.08
Chembur,Apartment,8000000.0,1853.0,2,2.0,Mumbai,4317.32
Chembur,Independent House,29900000.0,2663.0,3,2.0,Mumbai,11227.94
Borivali West,Apartment,61500000.0,1771.0,3,3.0,Mumbai,34726.14
Worli,Villa,9900000.0,1315.0,3,4.0,Mumbai,7528.52
Powai,Apartment,52200000.0,3941.0,3,4.0,Mumbai,13245.37
South Mumbai,Apartment,61700000.0,1815.0,2,2.0,Mumbai,33994.49
Goregaon East,Apartment,36800000.0,3608.0,3,3.0,Mumbai,10199.56
Andheri West,Independent House,78200000.0,1151.0,1,1.0,Mumbai,67940.92
Worli,Apartment,15100000.0,1088.0,2,2.0,Mumbai,13878.68
Andheri West,Apartment,12100000.0,415.0,1,1.0,Mumbai,29156.63
Borivali West,Apartment,74200000.0,2711.0,2,2.0,Mumbai,27369.97
Powai,Studio,52100000.0,1664.0,2,3.0,Mumbai,31310.1
Chembur,Apartment,70400000.0,3498.0,2,2.0,Mumbai,20125.79
Juhu,Independent House,46300000.0,2051.0,3,3.0,Mumbai,22574.35
Goregaon East,Apartment,28400000.0,3882.0,2,2.0,Mumbai,7315.82
Bandra East,Apartment,82800000.0,986.0,2,2.0,Mumbai,83975.66
Juhu,Apartment,80900000.0,3514.0,2,3.0,Mumbai,23022.2
Borivali West,Apartment,71000000.0,1939.0,2,2.0,Mumbai,36616.81
Worli,Apartment,30900000.0,3152.0,2,2.0,Mumbai,9803.3
Bandra East,Apartment,61100000.0,3426.0,1,1.0,Mumbai,17834.21
Lower Parel,Apartment,39300000.0,3116.0,3,3.0,Mumbai,12612.32
Kandivali East,Studio,13700000.0,2617.0,3,3.0,Mumbai,5235.0
Bandra East,Apartment,92100000.0,786.0,3,2.0,Mumbai,117175.57
South Mumbai,Apartment,18000000.0,420.0,2,2.0,Mumbai,42857.14
Borivali West,Studio,95300000.0,3707.0,2,2.0,Mumbai,25708.12
Malad West,Apartment,47400000.0,2582.0,4,4.0,Mumbai,18357.86
Kandivali East,Apartment,22600000.0,3247.0,2,2.0,Mumbai,6960.27
Andheri West,Studio,56500000.0,2082.0,2,2.0,Mumbai,27137.37
Goregaon East,Apartment,87900000.0,734.0,1,1.0,Mumbai,119754.77
Andheri West,Apartment,74600000.0,763.0,2,2.0,Mumbai,97771.95
Bandra East,Apartment,81600000.0,2837.0,2,3.0,Mumbai,28762.78
Andheri West,Villa,67600000.0,1892.0,2,3.0,Mumbai,35729.39
South Mumbai,Apartment,70800000.0,1042.0,2,3.0,Mumbai,67946.26
Borivali West,Apartment,85700000.0,2119.0,2,2.0,Mumbai,40443.61
Lower Parel,Studio,28700000.0,538.0,3,3.0,Mumbai,53345.72
Worli,Villa,51500000.0,2453.0,3,3.0,Mumbai,20994.7
Goregaon East,Apartment,26000000.0,1295.0,3,3.0,Mumbai,20077.22
South Mumbai,Apartment,98800000.0,3251.0,3,4.0,Mumbai,30390.65
South Mumbai,Apartment,94700000.0,1448.0,5,4.0,Mumbai,65400.55
Andheri West,Apartment,8700000.0,1984.0,1,1.0,Mumbai,4385.08
Worli,Villa,22200000.0,1752.0,3,3.0,Mumbai,12671.23
Juhu,Studio,59000000.0,2076.0,4,4.0,Mumbai,28420.04
Andheri West,Apartment,92000000.0,2520.0,2,2.0,Mumbai,36507.94
Borivali West,Independent House,8200000.0,1379.0,4,4.0,Mumbai,5946.34
Malad West,Apartment,71300000.0,2871.0,1,1.0,Mumbai,24834.55
Goregaon East,Independent House,33200000.0,3482.0,4,4.0,Mumbai,9534.75
Chembur,Apartment,92800000.0,3185.0,2,3.0,Mumbai,29136.58
Andheri West,Apartment,97300000.0,1917.5,1,2.0,Mumbai,50743.16
Borivali West,Villa,94700000.0,2078.0,2,2.0,Mumbai,45572.67
Borivali West,Apartment,50100000.0,688.0,2,2.0,Mumbai,72819.77
Goregaon East,Apartment,86900000.0,1196.0,2,2.0,Mumbai,72658.86
Juhu,Apartment,85200000.0,3951.0,2,2.0,Mumbai,21564.16
Borivali West,Apartment,35300000.0,827.0,3,3.0,Mumbai,42684.4
Malad West,Apartment,83700000.0,2146.0,2,3.0,Mumbai,39002.8
Borivali West,Apartment,8500000.0,2587.0,2,1.0,Mumbai,3285.66
Borivali West,Apartment,61600000.0,2899.0,3,4.0,Mumbai,21248.71
Borivali West,Apartment,26900000.0,2371.0,3,3.0,Mumbai,11345.42
Lower Parel,Apartment,16500000.0,336.0,2,2.0,Mumbai,49107.14
Lower Parel,Apartment,12300000.0,1508.0,2,2.0,Mumbai,8156.5
Juhu,Studio,71100000.0,2216.0,1,2.0,Mumbai,32084.84
Andheri West,Apartment,37300000.0,625.0,1,1.0,Mumbai,59680.0
Borivali West,Apartment,73900000.0,1597.0,3,3.0,Mumbai,46274.26
Worli,Apartment,11200000.0,423.0,1,1.0,Mumbai,26477.54
Andheri West,Studio,35000000.0,591.0,2,2.0,Mumbai,59221.66
Juhu,Apartment,56300000.0,1769.0,3,3.0,Mumbai,31825.89
Powai,Apartment,80100000.0,791.0,1,1.0,Mumbai,101264.22
Vijay Nagar,Apartment,4200000.0,936.0,3,3.0,Indore,4487.18
Lig Colony,Apartment,11200000.0,1445.0,3,4.0,Indore,7750.87
Sudama Nagar,Apartment,4500000.0,1926.0,1,1.0,Indore,2336.45
Bypass Road,Apartment,6000000.0,1999.0,2,2.0,Indore,3001.5
Sudama Nagar,Apartment,6400000.0,1505.0,3,3.0,Indore,4252.49
Vijay Nagar,Apartment,7500000.0,539.0,3,4.0,Indore,13914.66
Ab Road,Apartment,12800000.0,2689.0,5,4.0,Indore,4760.13
Nipania,Apartment,4300000.0,1525.0,1,1.0,Indore,2819.67
Bhawarkua,Studio,7100000.0,2655.0,4,4.0,Indore,2674.2
Rau,Apartment,12400000.0,858.0,2,2.0,Indore,14452.21
Nipania,Apartment,8900000.0,1335.0,2,2.0,Indore,6666.67
Nipania,Apartment,7600000.0,2955.0,2,1.0,Indore,2571.91
Super Corridor,Apartment,8000000.0,2010.0,3,3.0,Indore,3980.1
Lig Colony,Apartment,13100000.0,2052.0,1,1.0,Indore,6384.02
Palasia,Apartment,3000000.0,2725.0,3,4.0,Indore,1100.92
Bypass Road,Apartment,7900000.0,786.0,2,2.0,Indore,10050.89
Vijay Nagar,Villa,11700000.0,1939.0,4,3.0,Indore,6034.04
Palasia,Apartment,10100000.0,2717.0,2,2.0,Indore,3717.34
Rau,Apartment,3100000.0,1958.0,2,2.0,Indore,1583.25
Lig Colony,Apartment,11600000.0,2806.0,3,3.0,Indore,4134.0
Bhawarkua,Apartment,8900000.0,2224.0,2,2.0,Indore,4001.8
Rau,Apartment,9700000.0,979.0,2,2.0,Indore,9908.07
Bypass Road,Apartment,9300000.0,2886.0,2,2.0,Indore,3222.45
Nipania,Apartment,13600000.0,2493.0,3,3.0,Indore,5455.27
Rau,Apartment,5300000.0,2644.0,1,1.0,Indore,2004.54
Super Corridor,Villa,6200000.0,811.0,2,2.0,Indore,7644.88
Sudama Nagar,Villa,10700000.0,738.0,3,3.0,Indore,14498.64
Bhawarkua,Studio,12300000.0,2186.0,3,3.0,Indore,5626.72
Lig Colony,Villa,3800000.0,2021.0,2,2.0,Indore,1880.26
Lig Colony,Villa,6800000.0,1464.0,3,4.0,Indore,4644.81
Lig Colony,Independent House,10800000.0,898.0,2,3.0,Indore,12026.73
Rau,Independent House,10200000.0,1735.0,2,2.0,Indore,5878.96
Lig Colony,Apartment,10600000.0,947.0,2,2.0,Indore,11193.24
Bypass Road,Apartment,4800000.0,806.0,4,4.0,Indore,5955.33
Rau,Studio,14300000.0,2677.0,5,4.0,Indore,5341.8
Vijay Nagar,Villa,13200000.0,1799.0,3,3.0,Indore,7337.41
Lig Colony,Villa,11100000.0,1298.0,3,3.0,Indore,8551.62
Sudama Nagar,Apartment,7900000.0,2299.0,3,3.0,Indore,3436.28
Nipania,Villa,9000000.0,2911.0,1,1.0,Indore,3091.72
Rau,Apartment,9300000.0,540.0,2,1.0,Indore,17222.22
Palasia,Apartment,5100000.0,1122.0,2,2.0,Indore,4545.45
Palasia,Apartment,9200000.0,1328.0,1,1.0,Indore,6927.71
Lig Colony,Apartment,12900000.0,966.0,3,4.0,Indore,13354.04
Bhawarkua,Apartment,11400000.0,2376.0,1,1.0,Indore,4797.98
Lig Colony,Villa,3800000.0,2672.0,2,2.0,Indore,1422.16
Bypass Road,Villa,6900000.0,1585.0,2,3.0,Indore,4353.31
Super Corridor,Apartment,5400000.0,1381.0,1,1.0,Indore,3910.21
Rau,Apartment,6400000.0,1478.0,2,2.0,Indore,4330.18
Rau,Apartment,12400000.0,949.0,2,1.0,Indore,13066.39
Rau,Independent House,14500000.0,1411.0,3,3.0,Indore,10276.4
Lig Colony,Villa,2700000.0,1014.0,2,2.0,Indore,2662.72
Lig Colony,Apartment,8000000.0,1273.0,3,3.0,Indore,6284.37
Super Corridor,Independent House,5500000.0,2315.0,1,1.0,Indore,2375.81
Super Corridor,Independent House,9000000.0,2748.0,1,2.0,Indore,3275.11
Rau,Independent House,11800000.0,1159.0,1,1.0,Indore,10181.19
Palasia,Independent House,14000000.0,2556.0,1,1.0,Indore,5477.31
Ab Road,Apartment,6200000.0,733.0,1,1.0,Indore,8458.39
Ab Road,Apartment,13400000.0,2104.0,3,3.0,Indore,6368.82
Bypass Road,Apartment,4200000.0,2813.0,2,2.0,Indore,1493.07
Super Corridor,Apartment,9300000.0,1939.0,2,3.0,Indore,4796.29
Ab Road,Apartment,7100000.0,2558.0,2,2.0,Indore,2775.61
Palasia,Apartment,13000000.0,2544.0,3,3.0,Indore,5110.06
Vijay Nagar,Apartment,14500000.0,2204.5,3,3.0,Indore,6577.46
Vijay Nagar,Independent House,2200000.0,1054.0,2,1.0,Indore,2087.29
Super Corridor,Studio,7800000.0,2196.0,4,4.0,Indore,3551.91
Rau,Studio,6400000.0,1646.0,1,1.0,Indore,3888.21
Sudama Nagar,Apartment,10800000.0,2285.0,1,1.0,Indore,4726.48
Rau,Independent House,10200000.0,1553.0,4,4.0,Indore,6567.93
Ab Road,Apartment,12900000.0,1803.0,2,2.0,Indore,7154.74
Nipania,Apartment,4500000.0,2851.0,3,3.0,Indore,1578.39
Rau,Apartment,6400000.0,1621.0,2,2.0,Indore,3948.18
Sudama Nagar,Apartment,8700000.0,1939.0,2,3.0,Indore,4486.85
Bhawarkua,Apartment,3900000.0,983.0,3,3.0,Indore,3967.45
Ab Road,Independent House,5500000.0,2413.0,1,1.0,Indore,2279.32
Bhawarkua,Apartment,6600000.0,1844.0,3,3.0,Indore,3579.18
Rau,Apartment,12400000.0,2594.0,2,2.0,Indore,4780.26
Nipania,Independent House,5000000.0,2132.0,2,2.0,Indore,2345.22
Bhawarkua,Apartment,9900000.0,2692.0,2,2.0,Indore,3677.56
Rau,Apartment,12900000.0,699.0,1,1.0,Indore,18454.94
Bypass Road,Villa,13300000.0,1607.0,2,2.0,Indore,8276.29
Vijay Nagar,Apartment,9600000.0,1939.0,2,2.0,Indore,4951.01
Sudama Nagar,Independent House,3000000.0,2645.0,2,2.0,Indore,1134.22
Bypass Road,Independent House,14900000.0,1369.0,1,2.0,Indore,10883.86
Bypass Road,Apartment,10800000.0,2750.0,2,3.0,Indore,3927.27
Ab Road,Apartment,10400000.0,2204.5,3,2.0,Indore,4717.62
Sudama Nagar,Apartment,6900000.0,1094.0,2,2.0,Indore,6307.13
Ab Road,Villa,8800000.0,1167.0,3,3.0,Indore,7540.7
Sudama Nagar,Apartment,12300000.0,2545.0,3,2.0,Indore,4833.01
Vijay Nagar,Villa,2500000.0,2104.0,1,1.0,Indore,1188.21
Rau,Apartment,8900000.0,1727.0,2,2.0,Indore,5153.45
Vijay Nagar,Independent House,7700000.0,899.0,1,1.0,Indore,8565.07
Bypass Road,Independent House,14900000.0,1755.0,1,1.0,Indore,8490.03
Vijay Nagar,Independent House,6400000.0,2141.0,2,2.0,Indore,2989.26
Ab Road,Apartment,12700000.0,2860.0,2,2.0,Indore,4440.56
Sudama Nagar,Independent House,4000000.0,539.0,1,1.0,Indore,7421.15
Sudama Nagar,Apartment,14600000.0,1194.0,1,1.0,Indore,12227.81
Bypass Road,Villa,9400000.0,602.0,3,3.0,Indore,15614.62
Bypass Road,Apartment,6200000.0,2519.0,1,1.0,Indore,2461.29
Rau,Apartment,4200000.0,2484.0,2,2.0,Indore,1690.82
Rau,Apartment,3300000.0,1788.0,2,3.0,Indore,1845.64
Vijay Nagar,Apartment,12400000.0,1975.0,2,3.0,Indore,6278.48
Palasia,Villa,2700000.0,2092.0,1,1.0,Indore,1290.63
Super Corridor,Apartment,6000000.0,1581.0,3,3.0,Indore,3795.07
Vijay Nagar,Villa,9300000.0,1463.0,2,2.0,Indore,6356.8
Lig Colony,Apartment,11800000.0,2169.0,2,2.0,Indore,5440.3
Ab Road,Apartment,11400000.0,1335.0,3,2.0,Indore,8539.33
Rau,Apartment,2100000.0,2269.0,2,2.0,Indore,925.52
Lig Colony,Apartment,14200000.0,2963.0,1,1.0,Indore,4792.44
Bhawarkua,Apartment,3500000.0,2981.0,2,3.0,Indore,1174.1
Nipania,Apartment,14500000.0,1422.0,2,2.0,Indore,10196.91
Ab Road,Independent House,3100000.0,1195.0,2,3.0,Indore,2594.14
Ab Road,Villa,4700000.0,1885.0,5,6.0,Indore,2493.37
Rau,Apartment,10800000.0,1286.0,2,2.0,Indore,8398.13
Bhawarkua,Apartment,9700000.0,2562.0,2,2.0,Indore,3786.1
Sudama Nagar,Apartment,6600000.0,2799.0,3,3.0,Indore,2357.98
Super Corridor,Apartment,7800000.0,2261.0,3,3.0,Indore,3449.8
Lig Colony,Apartment,14400000.0,2353.0,2,2.0,Indore,6119.85
Super Corridor,Apartment,9800000.0,1532.0,1,1.0,Indore,6396.87
Rau,Apartment,8900000.0,675.0,2,3.0,Indore,13185.19
Super Corridor,Villa,13000000.0,2609.0,2,2.0,Indore,4982.75
Sudama Nagar,Apartment,11100000.0,1863.0,2,2.0,Indore,5958.13
