Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,price_per_sqft,Latitude,Longitude
Malad West,Studio,92400000.0,1883.0,2,1,49070.63,19.1852851,72.8358611
Malad West,Apartment,37900000.0,1722.0,1,1,22009.29,19.1852851,72.8358611
Worli,Studio,38000000.0,2815.0,3,3,13499.11,19.0117388,72.8178706
Juhu,Apartment,75100000.0,1108.0,3,3,67779.78,19.1070215,72.8275275
Worli,Apartment,48000000.0,3815.0,2,2,12581.91,19.0117388,72.8178706
Andheri West,Apartment,26300000.0,3209.0,2,2,8195.7,19.1172495,72.833968
Andheri West,Studio,48000000.0,631.0,3,3,76069.73,19.1172495,72.833968
Powai,Apartment,18400000.0,1845.0,2,2,9972.9,19.1187195,72.9073476
Worli,Apartment,21800000.0,3553.0,5,5,6135.66,19.0117388,72.8178706
Goregaon East,Apartment,52300000.0,2078.0,5,6,25168.43,19.1692623,72.8552548
South Mumbai,Apartment,44800000.0,2029.0,3,3,22079.84,18.9752099,72.8239654
Juhu,Apartment,91900000.0,2570.0,1,1,35758.75,19.1070215,72.8275275
Andheri West,Apartment,39400000.0,918.0,3,3,42919.39,19.1172495,72.833968
Powai,Apartment,60200000.0,3967.0,1,1,15175.2,19.1187195,72.9073476
Chembur,Apartment,65100000.0,1157.0,1,1,56266.21,19.054818,72.8979713
Juhu,Apartment,68000000.0,2704.0,2,3,25147.93,19.1070215,72.8275275
Chembur,Apartment,21900000.0,2549.0,4,4,8591.6,19.054818,72.8979713
Worli,Apartment,96300000.0,2197.0,3,3,43832.5,19.0117388,72.8178706
Malad West,Studio,19100000.0,1153.0,3,3,16565.48,19.1852851,72.8358611
Chembur,Apartment,44400000.0,953.0,2,2,46589.72,19.054818,72.8979713
Powai,Apartment,13100000.0,1116.0,2,2,11738.35,19.1187195,72.9073476
Juhu,Apartment,99700000.0,990.0,2,1,100707.07,19.1070215,72.8275275
Lower Parel,Apartment,52700000.0,3184.0,5,4,16551.51,18.99568,72.8302756
Borivali West,Apartment,61600000.0,1595.0,1,2,38620.69,19.2298129,72.8471376
Borivali West,Apartment,11400000.0,514.0,4,4,22178.99,19.2298129,72.8471376
Juhu,Apartment,76200000.0,3886.0,2,2,19608.85,19.1070215,72.8275275
Chembur,Apartment,24900000.0,3570.0,2,2,6974.79,19.054818,72.8979713
Worli,Apartment,90300000.0,3733.0,3,3,24189.66,19.0117388,72.8178706
Powai,Apartment,24500000.0,3981.0,2,1,6154.23,19.1187195,72.9073476
South Mumbai,Apartment,23100000.0,943.0,4,4,24496.29,18.9752099,72.8239654
Borivali West,Apartment,8500000.0,1766.0,4,3,4813.14,19.2298129,72.8471376
Powai,Apartment,49800000.0,3105.0,2,3,16038.65,19.1187195,72.9073476
Borivali West,Apartment,58700000.0,2875.0,2,2,20417.39,19.2298129,72.8471376
Malad West,Apartment,11200000.0,869.0,2,2,12888.38,19.1852851,72.8358611
Worli,Apartment,78700000.0,3319.0,4,5,23711.96,19.0117388,72.8178706
Malad West,Villa,48100000.0,1130.0,2,2,42566.37,19.1852851,72.8358611
Borivali West,Apartment,54800000.0,1128.0,3,3,48581.56,19.2298129,72.8471376
Lower Parel,Apartment,46900000.0,2287.0,3,3,20507.21,18.99568,72.8302756
Lower Parel,Studio,43100000.0,2494.0,3,3,17281.48,18.99568,72.8302756
Malad West,Studio,58200000.0,2446.0,1,1,23793.95,19.1852851,72.8358611
Lower Parel,Apartment,19700000.0,639.0,3,4,30829.42,18.99568,72.8302756
Borivali West,Apartment,22300000.0,3547.0,4,4,6287.0,19.2298129,72.8471376
Juhu,Independent House,86900000.0,1283.0,1,1,67731.88,19.1070215,72.8275275
Malad West,Apartment,94900000.0,779.0,2,2,121822.85,19.1852851,72.8358611
South Mumbai,Apartment,40500000.0,3588.0,5,5,11287.63,18.9752099,72.8239654
South Mumbai,Apartment,30700000.0,3836.0,1,1,8003.13,18.9752099,72.8239654
Bandra East,Apartment,66200000.0,3490.0,4,4,18968.48,19.0616565,72.8498111
Chembur,Apartment,43800000.0,3295.0,2,3,13292.87,19.054818,72.8979713
Worli,Apartment,7400000.0,2724.0,2,2,2716.59,19.0117388,72.8178706
Lower Parel,Apartment,19800000.0,2338.0,4,4,8468.78,18.99568,72.8302756
Lower Parel,Apartment,73000000.0,622.0,2,2,117363.34,18.99568,72.8302756
Chembur,Apartment,67600000.0,1811.0,2,2,37327.44,19.054818,72.8979713
Andheri West,Apartment,7600000.0,2442.5,2,1,3111.57,19.1172495,72.833968
Goregaon East,Apartment,26100000.0,1261.0,2,2,20697.86,19.1692623,72.8552548
Malad West,Apartment,27000000.0,2977.0,1,1,9069.53,19.1852851,72.8358611
Kandivali East,Studio,68800000.0,2135.0,2,2,32224.82,19.2051958,72.8626165
Lower Parel,Apartment,6900000.0,600.0,5,5,11500.0,18.99568,72.8302756
Worli,Apartment,14900000.0,1115.0,2,2,13363.23,19.0117388,72.8178706
Bandra East,Apartment,81000000.0,2828.0,3,4,28642.15,19.0616565,72.8498111
South Mumbai,Apartment,22000000.0,582.0,2,2,37800.69,18.9752099,72.8239654
Lower Parel,Apartment,67000000.0,3449.0,3,3,19425.92,18.99568,72.8302756
Bandra East,Apartment,27600000.0,2132.0,1,1,12945.59,19.0616565,72.8498111
Borivali West,Apartment,14400000.0,2078.0,5,6,6929.74,19.2298129,72.8471376
Borivali West,Apartment,28100000.0,2492.0,2,3,11276.08,19.2298129,72.8471376
Goregaon East,Apartment,73600000.0,3351.0,2,2,21963.59,19.1692623,72.8552548
Juhu,Apartment,86300000.0,1587.0,1,2,54379.33,19.1070215,72.8275275
Kandivali East,Apartment,83900000.0,2155.0,1,1,38932.71,19.2051958,72.8626165
Andheri West,Apartment,42700000.0,2393.0,2,2,17843.71,19.1172495,72.833968
Goregaon East,Apartment,68500000.0,1288.0,2,1,53183.23,19.1692623,72.8552548
Powai,Studio,24500000.0,3551.0,3,3,6899.46,19.1187195,72.9073476
Andheri West,Apartment,32800000.0,3250.0,2,2,10092.31,19.1172495,72.833968
Malad West,Apartment,90200000.0,2736.0,2,3,32967.84,19.1852851,72.8358611
Powai,Apartment,13100000.0,3509.0,3,3,3733.26,19.1187195,72.9073476
Powai,Apartment,24700000.0,2155.0,1,1,11461.72,19.1187195,72.9073476
Goregaon East,Apartment,7500000.0,3397.0,1,1,2207.83,19.1692623,72.8552548
Chembur,Apartment,22200000.0,2881.0,1,1,7705.66,19.054818,72.8979713
Juhu,Apartment,60400000.0,2817.0,3,3,21441.25,19.1070215,72.8275275
Chembur,Apartment,45000000.0,2589.0,3,2,17381.23,19.054818,72.8979713
Goregaon East,Apartment,89800000.0,3085.0,2,3,29108.59,19.1692623,72.8552548
Malad West,Apartment,82700000.0,887.0,3,3,93235.63,19.1852851,72.8358611
South Mumbai,Apartment,37500000.0,3559.0,3,3,10536.67,18.9752099,72.8239654
Lower Parel,Apartment,29600000.0,3526.0,2,2,8394.78,18.99568,72.8302756
Lower Parel,Apartment,41100000.0,408.0,4,4,100735.29,18.99568,72.8302756
Juhu,Apartment,61100000.0,3356.0,2,2,18206.2,19.1070215,72.8275275
Malad West,Studio,30500000.0,777.0,1,1,39253.54,19.1852851,72.8358611
Juhu,Apartment,64300000.0,1540.0,2,3,41753.25,19.1070215,72.8275275
Bandra East,Apartment,43900000.0,3051.0,1,1,14388.73,19.0616565,72.8498111
Chembur,Apartment,57400000.0,895.0,2,3,64134.08,19.054818,72.8979713
Lower Parel,Apartment,46400000.0,3326.0,4,5,13950.69,18.99568,72.8302756
Powai,Apartment,33000000.0,3379.0,1,1,9766.2,19.1187195,72.9073476
Chembur,Apartment,95100000.0,2178.0,1,2,43663.91,19.054818,72.8979713
Worli,Apartment,18300000.0,1362.0,4,5,13436.12,19.0117388,72.8178706
Malad West,Apartment,87500000.0,2583.0,2,2,33875.34,19.1852851,72.8358611
Andheri West,Studio,51300000.0,3930.0,2,3,13053.44,19.1172495,72.833968
Juhu,Apartment,90000000.0,2638.0,1,2,34116.76,19.1070215,72.8275275
Chembur,Apartment,81000000.0,1261.0,1,2,64234.73,19.054818,72.8979713
Worli,Apartment,45400000.0,2078.0,5,5,21847.93,19.0117388,72.8178706
Chembur,Studio,7100000.0,2298.0,5,5,3089.64,19.054818,72.8979713
Andheri West,Apartment,30500000.0,3185.0,1,1,9576.14,19.1172495,72.833968
Worli,Apartment,56500000.0,696.0,5,5,81178.16,19.0117388,72.8178706
Kandivali East,Studio,65200000.0,3116.0,3,3,20924.26,19.2051958,72.8626165
Andheri West,Studio,29500000.0,2303.0,4,4,12809.38,19.1172495,72.833968
Goregaon East,Independent House,18200000.0,3863.0,2,2,4711.36,19.1692623,72.8552548
Borivali West,Apartment,84300000.0,1565.0,2,3,53865.81,19.2298129,72.8471376
Goregaon East,Apartment,98500000.0,2641.0,2,2,37296.48,19.1692623,72.8552548
Lower Parel,Apartment,54900000.0,3749.0,3,4,14643.91,18.99568,72.8302756
Chembur,Studio,21300000.0,679.0,1,1,31369.66,19.054818,72.8979713
Borivali West,Apartment,30900000.0,3768.0,1,2,8200.64,19.2298129,72.8471376
Goregaon East,Apartment,6700000.0,2845.0,2,3,2355.01,19.1692623,72.8552548
Borivali West,Apartment,91900000.0,551.0,3,3,166787.66,19.2298129,72.8471376
South Mumbai,Villa,16200000.0,1414.0,2,2,11456.86,18.9752099,72.8239654
Chembur,Apartment,59800000.0,2371.0,3,3,25221.43,19.054818,72.8979713
Borivali West,Apartment,31000000.0,549.0,5,5,56466.3,19.2298129,72.8471376
Powai,Apartment,57600000.0,2454.0,1,1,23471.88,19.1187195,72.9073476
Juhu,Apartment,66900000.0,1580.0,3,3,42341.77,19.1070215,72.8275275
Juhu,Apartment,83800000.0,2442.5,2,2,34309.11,19.1070215,72.8275275
Powai,Apartment,24600000.0,469.0,4,4,52452.03,19.1187195,72.9073476
Bandra East,Apartment,18000000.0,3902.0,3,2,4613.02,19.0616565,72.8498111
Worli,Apartment,90500000.0,3885.0,3,3,23294.72,19.0117388,72.8178706
Andheri West,Apartment,88000000.0,3074.0,4,5,28627.2,19.1172495,72.833968
Andheri West,Apartment,61800000.0,781.0,3,3,79129.32,19.1172495,72.833968
Borivali West,Apartment,62000000.0,3106.0,2,3,19961.37,19.2298129,72.8471376
Goregaon East,Apartment,21700000.0,382.0,4,4,56806.28,19.1692623,72.8552548
Juhu,Apartment,91900000.0,1497.0,2,2,61389.45,19.1070215,72.8275275
Malad West,Apartment,44800000.0,2108.0,1,1,21252.37,19.1852851,72.8358611
Worli,Studio,41400000.0,3151.0,4,4,13138.69,19.0117388,72.8178706
South Mumbai,Apartment,54300000.0,2828.0,3,3,19200.85,18.9752099,72.8239654
Chembur,Independent House,9500000.0,1950.0,3,3,4871.79,19.054818,72.8979713
Lower Parel,Apartment,20800000.0,1312.0,2,2,15853.66,18.99568,72.8302756
Kandivali East,Apartment,75100000.0,3989.0,3,3,18826.77,19.2051958,72.8626165
Goregaon East,Villa,12900000.0,1877.0,2,2,6872.67,19.1692623,72.8552548
Chembur,Apartment,62300000.0,1970.0,3,2,31624.37,19.054818,72.8979713
Kandivali East,Apartment,28300000.0,905.0,1,1,31270.72,19.2051958,72.8626165
Chembur,Apartment,42000000.0,3241.0,3,3,12958.96,19.054818,72.8979713
Borivali West,Apartment,32400000.0,2867.0,5,4,11301.01,19.2298129,72.8471376
Kandivali East,Studio,38800000.0,1117.0,1,2,34735.9,19.2051958,72.8626165
Lower Parel,Independent House,73300000.0,605.0,5,4,121157.02,18.99568,72.8302756
Chembur,Studio,33200000.0,2818.0,2,2,11781.41,19.054818,72.8979713
Powai,Apartment,58800000.0,2722.0,4,5,21601.76,19.1187195,72.9073476
Lower Parel,Apartment,50200000.0,1311.0,3,3,38291.38,18.99568,72.8302756
Kandivali East,Studio,68000000.0,3818.0,2,2,17810.37,19.2051958,72.8626165
Lower Parel,Apartment,94000000.0,859.0,3,3,109429.57,18.99568,72.8302756
Chembur,Apartment,74600000.0,1900.0,4,4,39263.16,19.054818,72.8979713
Bandra East,Apartment,25400000.0,3791.0,2,2,6700.08,19.0616565,72.8498111
Chembur,Apartment,8000000.0,1853.0,2,2,4317.32,19.054818,72.8979713
Chembur,Independent House,29900000.0,2663.0,3,2,11227.94,19.054818,72.8979713
Borivali West,Apartment,61500000.0,1771.0,3,3,34726.14,19.2298129,72.8471376
Worli,Villa,9900000.0,1315.0,3,4,7528.52,19.0117388,72.8178706
Powai,Apartment,52200000.0,3941.0,3,4,13245.37,19.1187195,72.9073476
South Mumbai,Apartment,61700000.0,1815.0,2,2,33994.49,18.9752099,72.8239654
Goregaon East,Apartment,36800000.0,3608.0,3,3,10199.56,19.1692623,72.8552548
Andheri West,Independent House,78200000.0,1151.0,1,1,67940.92,19.1172495,72.833968
Worli,Apartment,15100000.0,1088.0,2,2,13878.68,19.0117388,72.8178706
Andheri West,Apartment,12100000.0,415.0,1,1,29156.63,19.1172495,72.833968
Borivali West,Apartment,74200000.0,2711.0,2,2,27369.97,19.2298129,72.8471376
Powai,Studio,52100000.0,1664.0,2,3,31310.1,19.1187195,72.9073476
Chembur,Apartment,70400000.0,3498.0,2,2,20125.79,19.054818,72.8979713
Juhu,Independent House,46300000.0,2051.0,3,3,22574.35,19.1070215,72.8275275
Goregaon East,Apartment,28400000.0,3882.0,2,2,7315.82,19.1692623,72.8552548
Bandra East,Apartment,82800000.0,986.0,2,2,83975.66,19.0616565,72.8498111
Juhu,Apartment,80900000.0,3514.0,2,3,23022.2,19.1070215,72.8275275
Borivali West,Apartment,71000000.0,2442.5,2,2,29068.58,19.2298129,72.8471376
Worli,Apartment,30900000.0,3152.0,2,2,9803.3,19.0117388,72.8178706
Bandra East,Apartment,61100000.0,3426.0,1,1,17834.21,19.0616565,72.8498111
Lower Parel,Apartment,39300000.0,3116.0,3,3,12612.32,18.99568,72.8302756
Kandivali East,Studio,13700000.0,2617.0,3,3,5235.0,19.2051958,72.8626165
Bandra East,Apartment,92100000.0,786.0,3,2,117175.57,19.0616565,72.8498111
South Mumbai,Apartment,18000000.0,420.0,2,2,42857.14,18.9752099,72.8239654
Borivali West,Studio,95300000.0,3707.0,2,2,25708.12,19.2298129,72.8471376
Malad West,Apartment,47400000.0,2582.0,4,4,18357.86,19.1852851,72.8358611
Kandivali East,Apartment,22600000.0,3247.0,2,2,6960.27,19.2051958,72.8626165
Andheri West,Studio,56500000.0,2082.0,2,2,27137.37,19.1172495,72.833968
Goregaon East,Apartment,87900000.0,734.0,1,1,119754.77,19.1692623,72.8552548
Andheri West,Apartment,74600000.0,763.0,2,2,97771.95,19.1172495,72.833968
Bandra East,Apartment,81600000.0,2837.0,2,3,28762.78,19.0616565,72.8498111
Andheri West,Villa,67600000.0,1892.0,2,3,35729.39,19.1172495,72.833968
South Mumbai,Apartment,70800000.0,1042.0,2,3,67946.26,18.9752099,72.8239654
Borivali West,Apartment,85700000.0,2119.0,2,2,40443.61,19.2298129,72.8471376
Lower Parel,Studio,28700000.0,538.0,3,3,53345.72,18.99568,72.8302756
Worli,Villa,51500000.0,2453.0,3,3,20994.7,19.0117388,72.8178706
Goregaon East,Apartment,26000000.0,1295.0,3,3,20077.22,19.1692623,72.8552548
South Mumbai,Apartment,98800000.0,3251.0,3,4,30390.65,18.9752099,72.8239654
South Mumbai,Apartment,94700000.0,1448.0,5,4,65400.55,18.9752099,72.8239654
Andheri West,Apartment,8700000.0,1984.0,1,1,4385.08,19.1172495,72.833968
Bandra East,Apartment,92900000.0,568.0,1,1,163556.34,19.0616565,72.8498111
Worli,Villa,22200000.0,1752.0,3,3,12671.23,19.0117388,72.8178706
Juhu,Studio,59000000.0,2076.0,4,4,28420.04,19.1070215,72.8275275
Andheri West,Apartment,92000000.0,2520.0,2,2,36507.94,19.1172495,72.833968
Borivali West,Independent House,8200000.0,1379.0,4,4,5946.34,19.2298129,72.8471376
Malad West,Apartment,71300000.0,2871.0,1,1,24834.55,19.1852851,72.8358611
Goregaon East,Independent House,33200000.0,3482.0,4,4,9534.75,19.1692623,72.8552548
Chembur,Apartment,92800000.0,3185.0,2,3,29136.58,19.054818,72.8979713
Andheri West,Apartment,97300000.0,2155.0,1,2,45150.81,19.1172495,72.833968
Borivali West,Villa,94700000.0,2078.0,2,2,45572.67,19.2298129,72.8471376
Borivali West,Apartment,50100000.0,688.0,2,2,72819.77,19.2298129,72.8471376
Goregaon East,Apartment,86900000.0,1196.0,2,2,72658.86,19.1692623,72.8552548
Juhu,Apartment,85200000.0,3951.0,2,2,21564.16,19.1070215,72.8275275
Borivali West,Apartment,35300000.0,827.0,3,3,42684.4,19.2298129,72.8471376
Malad West,Apartment,83700000.0,2146.0,2,3,39002.8,19.1852851,72.8358611
Borivali West,Apartment,8500000.0,2587.0,2,1,3285.66,19.2298129,72.8471376
Borivali West,Apartment,61600000.0,2899.0,3,4,21248.71,19.2298129,72.8471376
Borivali West,Apartment,26900000.0,2371.0,3,3,11345.42,19.2298129,72.8471376
Lower Parel,Apartment,16500000.0,336.0,2,2,49107.14,18.99568,72.8302756
Lower Parel,Apartment,12300000.0,1508.0,2,2,8156.5,18.99568,72.8302756
Juhu,Studio,71100000.0,2216.0,1,2,32084.84,19.1070215,72.8275275
Andheri West,Apartment,37300000.0,625.0,1,1,59680.0,19.1172495,72.833968
Borivali West,Apartment,73900000.0,1597.0,3,3,46274.26,19.2298129,72.8471376
Worli,Apartment,11200000.0,423.0,1,1,26477.54,19.0117388,72.8178706
Andheri West,Studio,35000000.0,591.0,2,2,59221.66,19.1172495,72.833968
Juhu,Apartment,56300000.0,1769.0,3,3,31825.89,19.1070215,72.8275275
Powai,Apartment,80100000.0,791.0,1,1,101264.22,19.1187195,72.9073476
