Property_Name,Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,Listing_URL,City
Luxury 5 BHK in Powai,Lower Parel,Apartment,46900000.0,2287.0,3,3.0,https://www.sample-realestate.com/mumbai/property/71,Mumbai
Luxury 5 BHK in Malad West,Lower Parel,Studio,43100000.0,2494.0,3,3.0,https://www.sample-realestate.com/mumbai/property/72,Mumbai
Luxury 3 BHK in Juhu,Malad West,Studio,58200000.0,2446.0,1,1.0,https://www.sample-realestate.com/mumbai/property/73,Mumbai
Luxury 4 BHK in Bandra East,Lower Parel,Apartment,19700000.0,639.0,3,4.0,https://www.sample-realestate.com/mumbai/property/74,Mumbai
Luxury 2 BHK in Worli,Borivali West,Apartment,22300000.0,3547.0,4,4.0,https://www.sample-realestate.com/mumbai/property/75,Mumbai
Luxury 5 BHK in Goregaon East,Juhu,Independent House,86900000.0,1283.0,1,1.0,https://www.sample-realestate.com/mumbai/property/76,Mumbai
Luxury 4 BHK in Chembur,Malad West,Apartment,94900000.0,779.0,2,2.0,https://www.sample-realestate.com/mumbai/property/77,Mumbai
Luxury 4 BHK in Chembur,South Mumbai,Apartment,40500000.0,3588.0,5,5.0,https://www.sample-realestate.com/mumbai/property/78,Mumbai
Luxury 4 BHK in South Mumbai,South Mumbai,Apartment,30700000.0,3836.0,1,1.0,https://www.sample-realestate.com/mumbai/property/79,Mumbai
Luxury 2 BHK in Malad West,Bandra East,Apartment,66200000.0,3490.0,4,4.0,https://www.sample-realestate.com/mumbai/property/80,Mumbai
Luxury 4 BHK in Worli,Chembur,Apartment,43800000.0,3295.0,2,3.0,https://www.sample-realestate.com/mumbai/property/81,Mumbai
Luxury 1 BHK in Andheri West,Worli,Apartment,7400000.0,2724.0,2,2.0,https://www.sample-realestate.com/mumbai/property/82,Mumbai
Luxury 1 BHK in South Mumbai,Lower Parel,Apartment,19800000.0,2338.0,4,4.0,https://www.sample-realestate.com/mumbai/property/83,Mumbai
Luxury 1 BHK in Powai,Lower Parel,Apartment,73000000.0,622.0,2,2.0,https://www.sample-realestate.com/mumbai/property/84,Mumbai
Luxury 5 BHK in Worli,Chembur,Apartment,67600000.0,1811.0,2,2.0,https://www.sample-realestate.com/mumbai/property/85,Mumbai
Luxury 3 BHK in Malad West,Andheri West,Apartment,7600000.0,,2,1.0,https://www.sample-realestate.com/mumbai/property/86,Mumbai
Luxury 3 BHK in Worli,Goregaon East,Apartment,26100000.0,1261.0,2,2.0,https://www.sample-realestate.com/mumbai/property/87,Mumbai
Luxury 5 BHK in Andheri West,Malad West,Apartment,27000000.0,2977.0,1,1.0,https://www.sample-realestate.com/mumbai/property/88,Mumbai
Luxury 3 BHK in Lower Parel,Kandivali East,Studio,68800000.0,2135.0,2,2.0,https://www.sample-realestate.com/mumbai/property/89,Mumbai
Luxury 4 BHK in Kandivali East,Lower Parel,Apartment,6900000.0,600.0,5,5.0,https://www.sample-realestate.com/mumbai/property/90,Mumbai
Luxury 3 BHK in Goregaon East,Worli,Apartment,14900000.0,1115.0,2,2.0,https://www.sample-realestate.com/mumbai/property/91,Mumbai
Luxury 1 BHK in Powai,Bandra East,Apartment,81000000.0,2828.0,3,4.0,https://www.sample-realestate.com/mumbai/property/92,Mumbai
Luxury 1 BHK in Andheri West,South Mumbai,Apartment,22000000.0,582.0,2,2.0,https://www.sample-realestate.com/mumbai/property/93,Mumbai
Luxury 2 BHK in Powai,Lower Parel,Apartment,67000000.0,3449.0,3,3.0,https://www.sample-realestate.com/mumbai/property/94,Mumbai
Luxury 4 BHK in Malad West,Bandra East,Apartment,27600000.0,2132.0,1,1.0,https://www.sample-realestate.com/mumbai/property/95,Mumbai
Luxury 2 BHK in Juhu,Borivali West,Apartment,14400000.0,2078.0,5,6.0,https://www.sample-realestate.com/mumbai/property/96,Mumbai
Luxury 1 BHK in Borivali West,Borivali West,Apartment,28100000.0,2492.0,2,3.0,https://www.sample-realestate.com/mumbai/property/97,Mumbai
Luxury 1 BHK in Kandivali East,Goregaon East,Apartment,73600000.0,3351.0,2,2.0,https://www.sample-realestate.com/mumbai/property/98,Mumbai
Luxury 1 BHK in South Mumbai,Juhu,Apartment,86300000.0,1587.0,1,2.0,https://www.sample-realestate.com/mumbai/property/99,Mumbai
Luxury 1 BHK in Bandra East,Kandivali East,Apartment,83900000.0,,1,1.0,https://www.sample-realestate.com/mumbai/property/100,Mumbai
Luxury 2 BHK in Chembur,Andheri West,Apartment,42700000.0,2393.0,2,2.0,https://www.sample-realestate.com/mumbai/property/101,Mumbai
Luxury 5 BHK in Andheri West,Goregaon East,Apartment,68500000.0,1288.0,2,1.0,https://www.sample-realestate.com/mumbai/property/102,Mumbai
Luxury 1 BHK in Juhu,Powai,Studio,24500000.0,3551.0,3,3.0,https://www.sample-realestate.com/mumbai/property/103,Mumbai
Luxury 2 BHK in Borivali West,Andheri West,Apartment,32800000.0,3250.0,2,2.0,https://www.sample-realestate.com/mumbai/property/104,Mumbai
Luxury 4 BHK in Lower Parel,Malad West,Apartment,90200000.0,2736.0,2,3.0,https://www.sample-realestate.com/mumbai/property/105,Mumbai
Luxury 4 BHK in Malad West,Worli,Villa,6200000.0,3447.0,3,3.0,https://www.sample-realestate.com/mumbai/property/106,Mumbai
Luxury 3 BHK in Kandivali East,Powai,Apartment,13100000.0,3509.0,3,3.0,https://www.sample-realestate.com/mumbai/property/107,Mumbai
Luxury 3 BHK in Andheri West,Powai,Apartment,24700000.0,,1,1.0,https://www.sample-realestate.com/mumbai/property/108,Mumbai
Luxury 5 BHK in Powai,Goregaon East,Apartment,7500000.0,3397.0,1,1.0,https://www.sample-realestate.com/mumbai/property/109,Mumbai
Luxury 2 BHK in Goregaon East,Chembur,Apartment,22200000.0,2881.0,1,1.0,https://www.sample-realestate.com/mumbai/property/110,Mumbai
Luxury 3 BHK in Andheri West,Juhu,Apartment,60400000.0,2817.0,3,3.0,https://www.sample-realestate.com/mumbai/property/111,Mumbai
Luxury 1 BHK in Chembur,Chembur,Apartment,45000000.0,2589.0,3,2.0,https://www.sample-realestate.com/mumbai/property/112,Mumbai
Luxury 3 BHK in Goregaon East,Goregaon East,Apartment,89800000.0,3085.0,2,3.0,https://www.sample-realestate.com/mumbai/property/113,Mumbai
Luxury 5 BHK in Juhu,Malad West,Apartment,82700000.0,887.0,3,3.0,https://www.sample-realestate.com/mumbai/property/114,Mumbai
Luxury 4 BHK in Chembur,South Mumbai,Apartment,37500000.0,3559.0,3,3.0,https://www.sample-realestate.com/mumbai/property/115,Mumbai
Luxury 3 BHK in Powai,Lower Parel,Apartment,29600000.0,3526.0,2,2.0,https://www.sample-realestate.com/mumbai/property/116,Mumbai
Luxury 3 BHK in Lower Parel,Lower Parel,Apartment,41100000.0,408.0,4,4.0,https://www.sample-realestate.com/mumbai/property/117,Mumbai
Luxury 3 BHK in Juhu,Juhu,Apartment,61100000.0,3356.0,2,2.0,https://www.sample-realestate.com/mumbai/property/118,Mumbai
Luxury 4 BHK in Malad West,Malad West,Studio,30500000.0,777.0,1,1.0,https://www.sample-realestate.com/mumbai/property/119,Mumbai
Luxury 4 BHK in Worli,Juhu,Apartment,64300000.0,1540.0,2,3.0,https://www.sample-realestate.com/mumbai/property/120,Mumbai
Luxury 1 BHK in Kandivali East,Bandra East,Apartment,43900000.0,3051.0,1,1.0,https://www.sample-realestate.com/mumbai/property/121,Mumbai
Luxury 2 BHK in Kandivali East,Chembur,Apartment,57400000.0,895.0,2,3.0,https://www.sample-realestate.com/mumbai/property/122,Mumbai
Luxury 1 BHK in South Mumbai,Lower Parel,Apartment,46400000.0,3326.0,4,5.0,https://www.sample-realestate.com/mumbai/property/123,Mumbai
Luxury 4 BHK in Worli,Powai,Apartment,33000000.0,3379.0,1,1.0,https://www.sample-realestate.com/mumbai/property/124,Mumbai
Luxury 1 BHK in Bandra East,Chembur,Apartment,95100000.0,2178.0,1,2.0,https://www.sample-realestate.com/mumbai/property/125,Mumbai
Luxury 2 BHK in Juhu,Kandivali East,Apartment,77500000.0,324.0,2,2.0,https://www.sample-realestate.com/mumbai/property/126,Mumbai
Luxury 4 BHK in Lower Parel,Worli,Apartment,18300000.0,1362.0,4,5.0,https://www.sample-realestate.com/mumbai/property/127,Mumbai
Luxury 1 BHK in Powai,Malad West,Apartment,87500000.0,2583.0,2,2.0,https://www.sample-realestate.com/mumbai/property/128,Mumbai
Luxury 4 BHK in Andheri West,Andheri West,Studio,51300000.0,3930.0,2,3.0,https://www.sample-realestate.com/mumbai/property/129,Mumbai
Luxury 2 BHK in Andheri West,Juhu,Apartment,90000000.0,2638.0,1,2.0,https://www.sample-realestate.com/mumbai/property/130,Mumbai
Luxury 4 BHK in Borivali West,Chembur,Apartment,81000000.0,1261.0,1,2.0,https://www.sample-realestate.com/mumbai/property/131,Mumbai
Luxury 5 BHK in South Mumbai,Worli,Apartment,45400000.0,,5,5.0,https://www.sample-realestate.com/mumbai/property/132,Mumbai
Luxury 1 BHK in Worli,Chembur,Studio,7100000.0,2298.0,5,5.0,https://www.sample-realestate.com/mumbai/property/133,Mumbai
Luxury 3 BHK in Juhu,Andheri West,Apartment,30500000.0,3185.0,1,1.0,https://www.sample-realestate.com/mumbai/property/134,Mumbai
Luxury 3 BHK in Powai,Worli,Apartment,56500000.0,696.0,5,5.0,https://www.sample-realestate.com/mumbai/property/135,Mumbai
Luxury 1 BHK in Kandivali East,Kandivali East,Studio,65200000.0,3116.0,3,3.0,https://www.sample-realestate.com/mumbai/property/136,Mumbai
Luxury 4 BHK in South Mumbai,Andheri West,Studio,29500000.0,2303.0,4,4.0,https://www.sample-realestate.com/mumbai/property/137,Mumbai
Luxury 1 BHK in Kandivali East,Goregaon East,Independent House,18200000.0,3863.0,2,2.0,https://www.sample-realestate.com/mumbai/property/138,Mumbai
Luxury 4 BHK in Goregaon East,Borivali West,Apartment,84300000.0,1565.0,2,3.0,https://www.sample-realestate.com/mumbai/property/139,Mumbai
Luxury 4 BHK in Juhu,Goregaon East,Apartment,98500000.0,2641.0,2,2.0,https://www.sample-realestate.com/mumbai/property/140,Mumbai
Luxury 1 BHK in Juhu,Lower Parel,Apartment,54900000.0,3749.0,3,4.0,https://www.sample-realestate.com/mumbai/property/141,Mumbai
Luxury 1 BHK in Bandra East,Chembur,Studio,21300000.0,679.0,1,1.0,https://www.sample-realestate.com/mumbai/property/142,Mumbai
Luxury 2 BHK in Bandra East,Borivali West,Apartment,30900000.0,3768.0,1,2.0,https://www.sample-realestate.com/mumbai/property/143,Mumbai
Luxury 3 BHK in Worli,Goregaon East,Apartment,6700000.0,2845.0,2,3.0,https://www.sample-realestate.com/mumbai/property/144,Mumbai
Luxury 4 BHK in Andheri West,Borivali West,Apartment,91900000.0,551.0,3,3.0,https://www.sample-realestate.com/mumbai/property/145,Mumbai
Luxury 4 BHK in Andheri West,South Mumbai,Villa,16200000.0,1414.0,2,2.0,https://www.sample-realestate.com/mumbai/property/146,Mumbai
Luxury 5 BHK in Powai,Chembur,Apartment,59800000.0,,3,3.0,https://www.sample-realestate.com/mumbai/property/147,Mumbai
Luxury 3 BHK in Andheri West,Borivali West,Apartment,31000000.0,549.0,5,5.0,https://www.sample-realestate.com/mumbai/property/148,Mumbai
Luxury 1 BHK in Chembur,Powai,Apartment,57600000.0,2454.0,1,1.0,https://www.sample-realestate.com/mumbai/property/149,Mumbai
Luxury 3 BHK in Juhu,Juhu,Apartment,66900000.0,1580.0,3,3.0,https://www.sample-realestate.com/mumbai/property/150,Mumbai
Luxury 5 BHK in Juhu,Juhu,Apartment,83800000.0,,2,2.0,https://www.sample-realestate.com/mumbai/property/151,Mumbai
Luxury 3 BHK in South Mumbai,Powai,Apartment,24600000.0,469.0,4,4.0,https://www.sample-realestate.com/mumbai/property/152,Mumbai
Luxury 2 BHK in Borivali West,Worli,Apartment,6000000.0,3525.0,1,1.0,https://www.sample-realestate.com/mumbai/property/153,Mumbai
Luxury 1 BHK in Chembur,Bandra East,Apartment,18000000.0,3902.0,3,2.0,https://www.sample-realestate.com/mumbai/property/154,Mumbai
Luxury 1 BHK in Borivali West,Worli,Apartment,90500000.0,3885.0,3,3.0,https://www.sample-realestate.com/mumbai/property/155,Mumbai
Luxury 4 BHK in Juhu,Andheri West,Apartment,88000000.0,3074.0,4,5.0,https://www.sample-realestate.com/mumbai/property/156,Mumbai
Luxury 4 BHK in Juhu,Andheri West,Apartment,61800000.0,781.0,3,3.0,https://www.sample-realestate.com/mumbai/property/157,Mumbai
Luxury 1 BHK in Andheri West,Borivali West,Apartment,62000000.0,3106.0,2,3.0,https://www.sample-realestate.com/mumbai/property/158,Mumbai
Luxury 4 BHK in Chembur,Goregaon East,Apartment,68200000.0,391.0,3,3.0,https://www.sample-realestate.com/mumbai/property/159,Mumbai
Luxury 5 BHK in Borivali West,Goregaon East,Apartment,21700000.0,382.0,4,4.0,https://www.sample-realestate.com/mumbai/property/160,Mumbai
Luxury 3 BHK in Chembur,Juhu,Apartment,91900000.0,1497.0,2,2.0,https://www.sample-realestate.com/mumbai/property/161,Mumbai
Luxury 1 BHK in Borivali West,Malad West,Apartment,44800000.0,2108.0,1,1.0,https://www.sample-realestate.com/mumbai/property/162,Mumbai
Luxury 5 BHK in Andheri West,Worli,Studio,41400000.0,3151.0,4,4.0,https://www.sample-realestate.com/mumbai/property/163,Mumbai
Luxury 5 BHK in Juhu,South Mumbai,Apartment,54300000.0,2828.0,3,3.0,https://www.sample-realestate.com/mumbai/property/164,Mumbai
Luxury 4 BHK in Andheri West,Chembur,Independent House,9500000.0,1950.0,3,3.0,https://www.sample-realestate.com/mumbai/property/165,Mumbai
Luxury 4 BHK in Borivali West,Lower Parel,Apartment,20800000.0,1312.0,2,2.0,https://www.sample-realestate.com/mumbai/property/166,Mumbai
Luxury 1 BHK in Juhu,Kandivali East,Apartment,75100000.0,3989.0,3,3.0,https://www.sample-realestate.com/mumbai/property/167,Mumbai
Luxury 2 BHK in Worli,Goregaon East,Villa,12900000.0,1877.0,2,2.0,https://www.sample-realestate.com/mumbai/property/168,Mumbai
Luxury 2 BHK in Goregaon East,Chembur,Apartment,62300000.0,1970.0,3,2.0,https://www.sample-realestate.com/mumbai/property/169,Mumbai
Luxury 2 BHK in Juhu,Kandivali East,Apartment,28300000.0,905.0,1,1.0,https://www.sample-realestate.com/mumbai/property/170,Mumbai
Luxury 2 BHK in Goregaon East,Chembur,Apartment,42000000.0,3241.0,3,3.0,https://www.sample-realestate.com/mumbai/property/171,Mumbai
Luxury 2 BHK in South Mumbai,Borivali West,Apartment,32400000.0,2867.0,5,4.0,https://www.sample-realestate.com/mumbai/property/172,Mumbai
Luxury 2 BHK in Bandra East,Kandivali East,Studio,38800000.0,1117.0,1,2.0,https://www.sample-realestate.com/mumbai/property/173,Mumbai
Luxury 2 BHK in Andheri West,Lower Parel,Independent House,73300000.0,605.0,5,4.0,https://www.sample-realestate.com/mumbai/property/174,Mumbai
Luxury 1 BHK in Worli,Chembur,Studio,33200000.0,2818.0,2,2.0,https://www.sample-realestate.com/mumbai/property/175,Mumbai
Luxury 3 BHK in Goregaon East,Powai,Apartment,58800000.0,2722.0,4,5.0,https://www.sample-realestate.com/mumbai/property/176,Mumbai
Luxury 5 BHK in Lower Parel,Lower Parel,Apartment,50200000.0,1311.0,3,3.0,https://www.sample-realestate.com/mumbai/property/177,Mumbai
Luxury 2 BHK in Juhu,Kandivali East,Studio,68000000.0,3818.0,2,2.0,https://www.sample-realestate.com/mumbai/property/178,Mumbai
Luxury 2 BHK in Worli,Lower Parel,Apartment,94000000.0,859.0,3,3.0,https://www.sample-realestate.com/mumbai/property/179,Mumbai
Luxury 5 BHK in Chembur,Chembur,Apartment,74600000.0,1900.0,4,4.0,https://www.sample-realestate.com/mumbai/property/180,Mumbai
Luxury 2 BHK in Malad West,Bandra East,Apartment,25400000.0,3791.0,2,2.0,https://www.sample-realestate.com/mumbai/property/181,Mumbai
Luxury 1 BHK in Powai,Chembur,Apartment,8000000.0,1853.0,2,2.0,https://www.sample-realestate.com/mumbai/property/182,Mumbai
Luxury 5 BHK in Powai,Chembur,Independent House,29900000.0,2663.0,3,2.0,https://www.sample-realestate.com/mumbai/property/183,Mumbai
Luxury 1 BHK in Kandivali East,Borivali West,Apartment,61500000.0,1771.0,3,3.0,https://www.sample-realestate.com/mumbai/property/184,Mumbai
Luxury 4 BHK in Juhu,Worli,Villa,9900000.0,1315.0,3,4.0,https://www.sample-realestate.com/mumbai/property/185,Mumbai
Luxury 4 BHK in Bandra East,Powai,Apartment,52200000.0,3941.0,3,4.0,https://www.sample-realestate.com/mumbai/property/186,Mumbai
Luxury 2 BHK in Malad West,South Mumbai,Apartment,61700000.0,1815.0,2,2.0,https://www.sample-realestate.com/mumbai/property/187,Mumbai
Luxury 3 BHK in Worli,Goregaon East,Apartment,36800000.0,3608.0,3,3.0,https://www.sample-realestate.com/mumbai/property/188,Mumbai
Luxury 2 BHK in Goregaon East,Andheri West,Independent House,78200000.0,1151.0,1,1.0,https://www.sample-realestate.com/mumbai/property/189,Mumbai
Luxury 2 BHK in Lower Parel,Worli,Apartment,15100000.0,1088.0,2,2.0,https://www.sample-realestate.com/mumbai/property/190,Mumbai
Luxury 1 BHK in Powai,Andheri West,Apartment,12100000.0,415.0,1,1.0,https://www.sample-realestate.com/mumbai/property/191,Mumbai
Luxury 2 BHK in Goregaon East,Borivali West,Apartment,74200000.0,2711.0,2,2.0,https://www.sample-realestate.com/mumbai/property/192,Mumbai
Luxury 3 BHK in Chembur,Powai,Studio,52100000.0,1664.0,2,3.0,https://www.sample-realestate.com/mumbai/property/193,Mumbai
