Property_Name,Location,Property_Type,Price_INR,Area_sqft,BHK,Bathrooms,Listing_URL
Premium 2 BHK in LIG Colony,Palasia,Apartment,5100000.0,1122.0,2,2.0,https://www.sample-realestate.com/indore-property/41
Premium 4 BHK in Super Corridor,Palasia,Apartment,9200000.0,1328.0,1,1.0,https://www.sample-realestate.com/indore-property/42
Premium 5 BHK in Sudama Nagar,LIG Colony,Apartment,12900000.0,966.0,3,4.0,https://www.sample-realestate.com/indore-property/43
Premium 4 BHK in Sudama Nagar,Bhawarkua,Apartment,11400000.0,2376.0,1,1.0,https://www.sample-realestate.com/indore-property/44
Premium 2 BHK in Nipania,LIG Colony,Villa,3800000.0,2672.0,2,2.0,https://www.sample-realestate.com/indore-property/45
Premium 5 BHK in Nipania,Bypass Road,Villa,6900000.0,1585.0,2,3.0,https://www.sample-realestate.com/indore-property/46
Premium 2 BHK in Vijay Nagar,Super Corridor,Apartment,5400000.0,1381.0,1,1.0,https://www.sample-realestate.com/indore-property/47
Premium 1 BHK in Sudama Nagar,Rau,Apartment,6400000.0,1478.0,2,2.0,https://www.sample-realestate.com/indore-property/48
Premium 4 BHK in Bypass Road,Rau,Apartment,12400000.0,949.0,2,1.0,https://www.sample-realestate.com/indore-property/49
Premium 2 BHK in Palasia,Rau,Independent House,14500000.0,1411.0,3,3.0,https://www.sample-realestate.com/indore-property/50
Premium 1 BHK in Nipania,LIG Colony,Villa,2700000.0,1014.0,2,2.0,https://www.sample-realestate.com/indore-property/51
Premium 2 BHK in Nipania,LIG Colony,Apartment,8000000.0,1273.0,3,,https://www.sample-realestate.com/indore-property/52
Premium 5 BHK in LIG Colony,Super Corridor,Independent House,5500000.0,2315.0,1,1.0,https://www.sample-realestate.com/indore-property/53
Premium 5 BHK in Palasia,Super Corridor,Independent House,9000000.0,2748.0,1,2.0,https://www.sample-realestate.com/indore-property/54
Premium 5 BHK in Nipania,Rau,Independent House,11800000.0,1159.0,1,1.0,https://www.sample-realestate.com/indore-property/55
Premium 5 BHK in Nipania,Palasia,Independent House,14000000.0,2556.0,1,1.0,https://www.sample-realestate.com/indore-property/56
Premium 1 BHK in Sudama Nagar,AB Road,Apartment,6200000.0,733.0,1,1.0,https://www.sample-realestate.com/indore-property/57
Premium 5 BHK in Rau,AB Road,Apartment,13400000.0,2104.0,3,3.0,https://www.sample-realestate.com/indore-property/58
Premium 5 BHK in LIG Colony,Bypass Road,Apartment,4200000.0,2813.0,2,2.0,https://www.sample-realestate.com/indore-property/59
Premium 1 BHK in Vijay Nagar,Super Corridor,Apartment,9300000.0,,2,3.0,https://www.sample-realestate.com/indore-property/60
Premium 2 BHK in Bypass Road,AB Road,Apartment,7100000.0,2558.0,2,2.0,https://www.sample-realestate.com/indore-property/61
Premium 1 BHK in Rau,Palasia,Apartment,13000000.0,2544.0,3,3.0,https://www.sample-realestate.com/indore-property/62
Premium 3 BHK in Bypass Road,Vijay Nagar,Apartment,14500000.0,,3,3.0,https://www.sample-realestate.com/indore-property/63
Premium 2 BHK in Sudama Nagar,Sudama Nagar,Apartment,2500000.0,2990.0,1,1.0,https://www.sample-realestate.com/indore-property/64
Premium 1 BHK in LIG Colony,Vijay Nagar,Independent House,2200000.0,1054.0,2,1.0,https://www.sample-realestate.com/indore-property/65
Premium 3 BHK in Super Corridor,Super Corridor,Studio,7800000.0,2196.0,4,4.0,https://www.sample-realestate.com/indore-property/66
Premium 3 BHK in Palasia,Rau,Studio,6400000.0,1646.0,1,1.0,https://www.sample-realestate.com/indore-property/67
Premium 5 BHK in Palasia,Sudama Nagar,Apartment,10800000.0,2285.0,1,,https://www.sample-realestate.com/indore-property/68
Premium 2 BHK in Bypass Road,Rau,Independent House,10200000.0,1553.0,4,,https://www.sample-realestate.com/indore-property/69
Premium 2 BHK in Nipania,AB Road,Apartment,12900000.0,1803.0,2,2.0,https://www.sample-realestate.com/indore-property/70
Premium 2 BHK in Bypass Road,Nipania,Apartment,4500000.0,2851.0,3,3.0,https://www.sample-realestate.com/indore-property/71
Premium 2 BHK in Bhawarkua,Rau,Apartment,6400000.0,1621.0,2,2.0,https://www.sample-realestate.com/indore-property/72
Premium 3 BHK in Bhawarkua,Sudama Nagar,Apartment,8700000.0,,2,3.0,https://www.sample-realestate.com/indore-property/73
Premium 2 BHK in Nipania,Bhawarkua,Apartment,3900000.0,983.0,3,3.0,https://www.sample-realestate.com/indore-property/74
Premium 3 BHK in Sudama Nagar,AB Road,Independent House,5500000.0,2413.0,1,1.0,https://www.sample-realestate.com/indore-property/75
Premium 2 BHK in Palasia,Bhawarkua,Apartment,6600000.0,1844.0,3,,https://www.sample-realestate.com/indore-property/76
Premium 4 BHK in Bypass Road,Rau,Apartment,12400000.0,2594.0,2,2.0,https://www.sample-realestate.com/indore-property/77
Premium 4 BHK in Nipania,Nipania,Independent House,5000000.0,2132.0,2,2.0,https://www.sample-realestate.com/indore-property/78
Premium 3 BHK in LIG Colony,Bhawarkua,Apartment,9900000.0,2692.0,2,2.0,https://www.sample-realestate.com/indore-property/79
Premium 2 BHK in Super Corridor,Rau,Apartment,12900000.0,699.0,1,1.0,https://www.sample-realestate.com/indore-property/80
Premium 4 BHK in Nipania,Bypass Road,Villa,13300000.0,1607.0,2,2.0,https://www.sample-realestate.com/indore-property/81
Premium 4 BHK in AB Road,Vijay Nagar,Apartment,9600000.0,,2,2.0,https://www.sample-realestate.com/indore-property/82
Premium 4 BHK in Sudama Nagar,Sudama Nagar,Independent House,3000000.0,2645.0,2,2.0,https://www.sample-realestate.com/indore-property/83
Premium 1 BHK in Bypass Road,Bypass Road,Independent House,14900000.0,1369.0,1,2.0,https://www.sample-realestate.com/indore-property/84
Premium 5 BHK in Rau,Bypass Road,Apartment,10800000.0,2750.0,2,3.0,https://www.sample-realestate.com/indore-property/85
Premium 1 BHK in Bypass Road,AB Road,Apartment,10400000.0,,3,2.0,https://www.sample-realestate.com/indore-property/86
Premium 5 BHK in Super Corridor,Sudama Nagar,Apartment,6900000.0,1094.0,2,2.0,https://www.sample-realestate.com/indore-property/87
Premium 3 BHK in AB Road,AB Road,Villa,8800000.0,1167.0,3,3.0,https://www.sample-realestate.com/indore-property/88
Premium 2 BHK in AB Road,Sudama Nagar,Apartment,12300000.0,2545.0,3,2.0,https://www.sample-realestate.com/indore-property/89
Premium 5 BHK in Super Corridor,Vijay Nagar,Villa,2500000.0,2104.0,1,1.0,https://www.sample-realestate.com/indore-property/90
Premium 4 BHK in Bhawarkua,Rau,Apartment,8900000.0,1727.0,2,2.0,https://www.sample-realestate.com/indore-property/91
Premium 3 BHK in Rau,Super Corridor,Apartment,2400000.0,2768.0,2,2.0,https://www.sample-realestate.com/indore-property/92
Premium 4 BHK in Vijay Nagar,Vijay Nagar,Independent House,7700000.0,899.0,1,1.0,https://www.sample-realestate.com/indore-property/93
Premium 4 BHK in LIG Colony,Bypass Road,Independent House,14900000.0,1755.0,1,1.0,https://www.sample-realestate.com/indore-property/94
Premium 4 BHK in LIG Colony,Vijay Nagar,Independent House,6400000.0,2141.0,2,2.0,https://www.sample-realestate.com/indore-property/95
Premium 3 BHK in AB Road,AB Road,Apartment,12700000.0,2860.0,2,2.0,https://www.sample-realestate.com/indore-property/96
Premium 2 BHK in LIG Colony,Sudama Nagar,Independent House,4000000.0,539.0,1,1.0,https://www.sample-realestate.com/indore-property/97
Premium 2 BHK in Palasia,Sudama Nagar,Apartment,14600000.0,1194.0,1,1.0,https://www.sample-realestate.com/indore-property/98
Premium 3 BHK in Bhawarkua,Bypass Road,Villa,9400000.0,602.0,3,3.0,https://www.sample-realestate.com/indore-property/99
Premium 3 BHK in Bypass Road,Bypass Road,Apartment,6200000.0,2519.0,1,1.0,https://www.sample-realestate.com/indore-property/100
Premium 1 BHK in Super Corridor,Rau,Apartment,4200000.0,2484.0,2,2.0,https://www.sample-realestate.com/indore-property/101
Premium 4 BHK in Nipania,Rau,Apartment,3300000.0,1788.0,2,3.0,https://www.sample-realestate.com/indore-property/102
Premium 4 BHK in Palasia,Vijay Nagar,Apartment,12400000.0,1975.0,2,3.0,https://www.sample-realestate.com/indore-property/103
Premium 4 BHK in Palasia,Palasia,Villa,2700000.0,2092.0,1,1.0,https://www.sample-realestate.com/indore-property/104
Premium 3 BHK in Sudama Nagar,Super Corridor,Apartment,6000000.0,1581.0,3,3.0,https://www.sample-realestate.com/indore-property/105
Premium 2 BHK in Bypass Road,Vijay Nagar,Villa,9300000.0,1463.0,2,,https://www.sample-realestate.com/indore-property/106
Premium 2 BHK in Rau,LIG Colony,Apartment,11800000.0,2169.0,2,2.0,https://www.sample-realestate.com/indore-property/107
Premium 3 BHK in LIG Colony,AB Road,Apartment,11400000.0,1335.0,3,2.0,https://www.sample-realestate.com/indore-property/108
Premium 1 BHK in AB Road,Rau,Apartment,2100000.0,2269.0,2,2.0,https://www.sample-realestate.com/indore-property/109
Premium 2 BHK in Bhawarkua,LIG Colony,Apartment,14200000.0,2963.0,1,1.0,https://www.sample-realestate.com/indore-property/110
Premium 5 BHK in Nipania,Bhawarkua,Apartment,3500000.0,2981.0,2,3.0,https://www.sample-realestate.com/indore-property/111
Premium 4 BHK in Palasia,Nipania,Apartment,14500000.0,1422.0,2,2.0,https://www.sample-realestate.com/indore-property/112
Premium 5 BHK in Bypass Road,AB Road,Independent House,3100000.0,1195.0,2,3.0,https://www.sample-realestate.com/indore-property/113
Premium 5 BHK in AB Road,AB Road,Villa,4700000.0,1885.0,5,6.0,https://www.sample-realestate.com/indore-property/114
Premium 1 BHK in Vijay Nagar,Rau,Apartment,10800000.0,1286.0,2,2.0,https://www.sample-realestate.com/indore-property/115
Premium 1 BHK in Palasia,Bhawarkua,Apartment,9700000.0,2562.0,2,2.0,https://www.sample-realestate.com/indore-property/116
Premium 1 BHK in Rau,Sudama Nagar,Apartment,6600000.0,2799.0,3,3.0,https://www.sample-realestate.com/indore-property/117
Premium 4 BHK in AB Road,Super Corridor,Apartment,7800000.0,2261.0,3,3.0,https://www.sample-realestate.com/indore-property/118
Premium 5 BHK in AB Road,LIG Colony,Apartment,14400000.0,2353.0,2,2.0,https://www.sample-realestate.com/indore-property/119
Premium 1 BHK in LIG Colony,Super Corridor,Apartment,9800000.0,1532.0,1,1.0,https://www.sample-realestate.com/indore-property/120
Premium 2 BHK in Bhawarkua,Rau,Apartment,8900000.0,675.0,2,3.0,https://www.sample-realestate.com/indore-property/121
Premium 3 BHK in Bhawarkua,Super Corridor,Villa,13000000.0,2609.0,2,2.0,https://www.sample-realestate.com/indore-property/122
Premium 3 BHK in LIG Colony,Sudama Nagar,Apartment,11100000.0,1863.0,2,2.0,https://www.sample-realestate.com/indore-property/123
Premium 4 BHK in Sudama Nagar,AB Road,Apartment,8900000.0,2055.0,1,1.0,https://www.sample-realestate.com/indore-property/124
Premium 2 BHK in Bypass Road,LIG Colony,Apartment,7900000.0,2141.0,5,6.0,https://www.sample-realestate.com/indore-property/125
Premium 5 BHK in Palasia,Nipania,Apartment,13000000.0,1909.0,1,1.0,https://www.sample-realestate.com/indore-property/126
Premium 2 BHK in Vijay Nagar,Super Corridor,Apartment,4900000.0,524.0,2,1.0,https://www.sample-realestate.com/indore-property/127
Premium 4 BHK in Palasia,Palasia,Independent House,5200000.0,1054.0,2,2.0,https://www.sample-realestate.com/indore-property/128
Premium 4 BHK in LIG Colony,Nipania,Villa,6600000.0,996.0,3,3.0,https://www.sample-realestate.com/indore-property/129
Premium 4 BHK in Sudama Nagar,Super Corridor,Apartment,12200000.0,1596.0,4,4.0,https://www.sample-realestate.com/indore-property/130
Premium 4 BHK in AB Road,Nipania,Villa,3200000.0,2261.0,2,2.0,https://www.sample-realestate.com/indore-property/131
Premium 2 BHK in AB Road,Bypass Road,Apartment,2500000.0,2509.0,5,6.0,https://www.sample-realestate.com/indore-property/132
Premium 2 BHK in Palasia,Nipania,Apartment,6100000.0,2666.0,2,1.0,https://www.sample-realestate.com/indore-property/133
Premium 4 BHK in Super Corridor,AB Road,Apartment,13800000.0,1557.0,2,2.0,https://www.sample-realestate.com/indore-property/134
Premium 2 BHK in AB Road,Sudama Nagar,Apartment,7100000.0,1693.0,1,1.0,https://www.sample-realestate.com/indore-property/135
Premium 3 BHK in Palasia,LIG Colony,Villa,11900000.0,1496.0,1,1.0,https://www.sample-realestate.com/indore-property/136
Premium 1 BHK in LIG Colony,Sudama Nagar,Independent House,7600000.0,684.0,1,1.0,https://www.sample-realestate.com/indore-property/137
Premium 1 BHK in Nipania,AB Road,Apartment,9500000.0,1195.0,1,1.0,https://www.sample-realestate.com/indore-property/138
Premium 1 BHK in Sudama Nagar,LIG Colony,Villa,6800000.0,1440.0,3,3.0,https://www.sample-realestate.com/indore-property/139
Premium 3 BHK in LIG Colony,Palasia,Studio,3500000.0,1002.0,3,3.0,https://www.sample-realestate.com/indore-property/140
Premium 3 BHK in AB Road,Palasia,Studio,12000000.0,2029.0,1,1.0,https://www.sample-realestate.com/indore-property/141
Premium 2 BHK in Vijay Nagar,Sudama Nagar,Villa,7700000.0,2710.0,2,2.0,https://www.sample-realestate.com/indore-property/142
Premium 1 BHK in Bhawarkua,Sudama Nagar,Apartment,7100000.0,2524.0,1,1.0,https://www.sample-realestate.com/indore-property/143
Premium 5 BHK in Super Corridor,Rau,Apartment,10500000.0,1921.0,2,2.0,https://www.sample-realestate.com/indore-property/144
Premium 2 BHK in AB Road,Super Corridor,Apartment,6600000.0,2324.0,1,1.0,https://www.sample-realestate.com/indore-property/145
Premium 4 BHK in Sudama Nagar,Vijay Nagar,Apartment,7800000.0,1723.0,3,3.0,https://www.sample-realestate.com/indore-property/146
Premium 5 BHK in LIG Colony,Super Corridor,Independent House,11700000.0,,2,2.0,https://www.sample-realestate.com/indore-property/147
Premium 2 BHK in Sudama Nagar,Nipania,Apartment,12400000.0,2108.0,4,5.0,https://www.sample-realestate.com/indore-property/148
Premium 1 BHK in Nipania,Bypass Road,Apartment,14500000.0,2495.0,3,3.0,https://www.sample-realestate.com/indore-property/149
Premium 2 BHK in Nipania,AB Road,Apartment,2300000.0,2622.0,2,3.0,https://www.sample-realestate.com/indore-property/150
Premium 1 BHK in Bypass Road,Nipania,Apartment,14600000.0,2571.0,2,3.0,https://www.sample-realestate.com/indore-property/151
Premium 2 BHK in Rau,Nipania,Apartment,4300000.0,1485.0,4,4.0,https://www.sample-realestate.com/indore-property/152
Premium 4 BHK in Bhawarkua,Bypass Road,Apartment,14000000.0,,2,1.0,https://www.sample-realestate.com/indore-property/153
Premium 3 BHK in Vijay Nagar,LIG Colony,Apartment,6900000.0,1634.0,2,3.0,https://www.sample-realestate.com/indore-property/154
Premium 3 BHK in Vijay Nagar,Vijay Nagar,Apartment,5700000.0,,1,1.0,https://www.sample-realestate.com/indore-property/155
Premium 3 BHK in LIG Colony,Palasia,Apartment,9500000.0,2955.0,2,3.0,https://www.sample-realestate.com/indore-property/156
Premium 2 BHK in Vijay Nagar,LIG Colony,Apartment,2400000.0,700.0,2,3.0,https://www.sample-realestate.com/indore-property/157
Premium 4 BHK in Super Corridor,Bhawarkua,Apartment,14800000.0,1563.0,2,2.0,https://www.sample-realestate.com/indore-property/158
Premium 4 BHK in LIG Colony,Nipania,Apartment,2200000.0,2865.0,1,1.0,https://www.sample-realestate.com/indore-property/159
Premium 1 BHK in AB Road,AB Road,Apartment,11100000.0,,2,2.0,https://www.sample-realestate.com/indore-property/160
Premium 4 BHK in Rau,AB Road,Apartment,9300000.0,1624.0,4,4.0,https://www.sample-realestate.com/indore-property/161
Premium 1 BHK in LIG Colony,Vijay Nagar,Apartment,10100000.0,1192.0,2,2.0,https://www.sample-realestate.com/indore-property/162
Premium 1 BHK in Bypass Road,Bhawarkua,Apartment,10400000.0,501.0,2,2.0,https://www.sample-realestate.com/indore-property/163
Premium 4 BHK in Palasia,AB Road,Apartment,7200000.0,1988.0,3,2.0,https://www.sample-realestate.com/indore-property/164
Premium 1 BHK in Palasia,Bypass Road,Apartment,7100000.0,879.0,2,2.0,https://www.sample-realestate.com/indore-property/165
Premium 4 BHK in Vijay Nagar,Super Corridor,Independent House,13500000.0,1274.0,3,3.0,https://www.sample-realestate.com/indore-property/166
Premium 5 BHK in Bypass Road,LIG Colony,Apartment,14300000.0,1524.0,1,1.0,https://www.sample-realestate.com/indore-property/167
Premium 5 BHK in Super Corridor,Super Corridor,Villa,5200000.0,1290.0,2,2.0,https://www.sample-realestate.com/indore-property/168
Premium 4 BHK in AB Road,LIG Colony,Apartment,11300000.0,,2,2.0,https://www.sample-realestate.com/indore-property/169
Premium 2 BHK in Bypass Road,Rau,Apartment,5700000.0,2212.0,3,3.0,https://www.sample-realestate.com/indore-property/170
Premium 1 BHK in Super Corridor,AB Road,Apartment,14200000.0,1731.0,2,2.0,https://www.sample-realestate.com/indore-property/171
Premium 5 BHK in Palasia,Palasia,Independent House,7800000.0,1865.0,2,2.0,https://www.sample-realestate.com/indore-property/172
Premium 5 BHK in Bypass Road,Bypass Road,Studio,11700000.0,2663.0,2,3.0,https://www.sample-realestate.com/indore-property/173
Premium 1 BHK in Rau,Sudama Nagar,Apartment,5100000.0,2372.0,2,2.0,https://www.sample-realestate.com/indore-property/174
Premium 1 BHK in LIG Colony,Bypass Road,Apartment,13300000.0,1121.0,1,1.0,https://www.sample-realestate.com/indore-property/175
Premium 2 BHK in Bhawarkua,Rau,Independent House,7000000.0,1131.0,4,4.0,https://www.sample-realestate.com/indore-property/176
Premium 1 BHK in Vijay Nagar,Bhawarkua,Independent House,9000000.0,1744.0,2,2.0,https://www.sample-realestate.com/indore-property/177
Premium 2 BHK in Super Corridor,LIG Colony,Apartment,13100000.0,1493.0,2,2.0,https://www.sample-realestate.com/indore-property/178
Premium 5 BHK in AB Road,Palasia,Apartment,13200000.0,1163.0,1,1.0,https://www.sample-realestate.com/indore-property/179
Premium 4 BHK in AB Road,Sudama Nagar,Apartment,9200000.0,1340.0,1,1.0,https://www.sample-realestate.com/indore-property/180
Premium 3 BHK in Bhawarkua,Bhawarkua,Apartment,9900000.0,1048.0,1,2.0,https://www.sample-realestate.com/indore-property/181
Premium 3 BHK in LIG Colony,Sudama Nagar,Apartment,12400000.0,1477.0,1,1.0,https://www.sample-realestate.com/indore-property/182
Premium 4 BHK in Palasia,AB Road,Villa,5700000.0,,3,2.0,https://www.sample-realestate.com/indore-property/183
Premium 4 BHK in Super Corridor,Sudama Nagar,Independent House,8300000.0,2997.0,2,2.0,https://www.sample-realestate.com/indore-property/184
Premium 4 BHK in Sudama Nagar,Vijay Nagar,Apartment,7200000.0,558.0,2,2.0,https://www.sample-realestate.com/indore-property/185
Premium 3 BHK in Nipania,Nipania,Apartment,5900000.0,1776.0,1,1.0,https://www.sample-realestate.com/indore-property/186
Premium 2 BHK in Super Corridor,Bhawarkua,Apartment,9900000.0,1669.0,3,3.0,https://www.sample-realestate.com/indore-property/187
Premium 1 BHK in Vijay Nagar,Bhawarkua,Apartment,4300000.0,1473.0,1,1.0,https://www.sample-realestate.com/indore-property/188
Premium 3 BHK in Nipania,Super Corridor,Studio,6400000.0,854.0,1,1.0,https://www.sample-realestate.com/indore-property/189
Premium 3 BHK in Super Corridor,LIG Colony,Apartment,12300000.0,618.0,1,1.0,https://www.sample-realestate.com/indore-property/190
Premium 4 BHK in Bhawarkua,AB Road,Independent House,12600000.0,2975.0,3,4.0,https://www.sample-realestate.com/indore-property/191
Premium 2 BHK in LIG Colony,AB Road,Apartment,10500000.0,2468.0,1,2.0,https://www.sample-realestate.com/indore-property/192
Premium 2 BHK in Rau,Vijay Nagar,Apartment,13600000.0,1600.0,2,2.0,https://www.sample-realestate.com/indore-property/193
Premium 5 BHK in LIG Colony,Vijay Nagar,Apartment,2600000.0,2178.0,2,2.0,https://www.sample-realestate.com/indore-property/194
Premium 5 BHK in LIG Colony,Super Corridor,Villa,4600000.0,1244.0,1,,https://www.sample-realestate.com/indore-property/195
Premium 1 BHK in Vijay Nagar,Nipania,Villa,13800000.0,1592.0,2,3.0,https://www.sample-realestate.com/indore-property/196
Premium 3 BHK in LIG Colony,LIG Colony,Apartment,9700000.0,2627.0,3,2.0,https://www.sample-realestate.com/indore-property/197
Premium 5 BHK in Nipania,Palasia,Apartment,13900000.0,1939.0,2,2.0,https://www.sample-realestate.com/indore-property/198
Premium 4 BHK in LIG Colony,Bypass Road,Apartment,6100000.0,1772.0,2,1.0,https://www.sample-realestate.com/indore-property/199
